Index,Weekday
445,Friday
446,Friday
447,Friday
448,Friday
449,Saturday
450,Monday
451,Monday
452,Monday
453,Monday
454,Tuesday
455,Tuesday
456,Tuesday
457,Tuesday
458,Tuesday
459,Wednesday
460,Wednesday
461,Wednesday
462,Wednesday
463,Wednesday
464,Thursday
465,Thursday
466,Thursday
467,Thursday
468,Thursday
469,Friday
470,Friday
471,Friday
472,Friday
473,Saturday
474,Saturday
475,Saturday
476,Saturday
477,Sunday
478,Sunday
479,Monday
480,Monday
481,Monday
482,Tuesday
483,Tuesday
484,Tuesday
485,Tuesday
486,Wednesday
487,Wednesday
488,Wednesday
489,Wednesday
490,Wednesday
491,Wednesday
492,Wednesday
493,Wednesday
494,Wednesday
495,Wednesday
496,Thursday
497,Thursday
498,Thursday
499,Thursday
500,Thursday
501,Friday
502,Friday
503,Friday
504,Monday
505,Monday
506,Tuesday
507,Tuesday
508,Tuesday
509,Tuesday
510,Tuesday
511,Wednesday
512,Wednesday
513,Thursday
514,Thursday
515,Friday
516,Friday
517,Saturday
518,Saturday
519,Saturday
520,Saturday
521,Sunday
522,Sunday
523,Sunday
524,Monday
525,Monday
526,Monday
527,Monday
528,Tuesday
529,Tuesday
530,Tuesday
531,Tuesday
532,Wednesday
533,Wednesday
534,Wednesday
535,Thursday
536,Thursday
537,Thursday
538,Thursday
539,Thursday
540,Thursday
541,Thursday
542,Friday
543,Sunday
544,Sunday
545,Monday
546,Monday
547,Monday
548,Monday
549,Monday
550,Tuesday
551,Tuesday
552,Tuesday
553,Tuesday
554,Tuesday
555,Tuesday
556,Tuesday
557,Tuesday
558,Wednesday
559,Wednesday
560,Wednesday
561,Wednesday
562,Wednesday
563,Wednesday
564,Wednesday
565,Wednesday
566,Wednesday
567,Thursday
568,Thursday
569,Thursday
570,Thursday
571,Thursday
572,Thursday
573,Thursday
574,Thursday
575,Thursday
576,Thursday
577,Thursday
578,Thursday
579,Thursday
580,Friday
581,Friday
582,Friday
583,Friday
584,Saturday
585,Saturday
586,Saturday
587,Saturday
588,Saturday
589,Saturday
590,Sunday
591,Sunday
592,Sunday
593,Sunday
594,Sunday
595,Sunday
596,Sunday
597,Monday
598,Monday
599,Monday
600,Monday
601,Monday
602,Monday
603,Tuesday
604,Tuesday
605,Tuesday
606,Wednesday
607,Tuesday
608,Wednesday
609,Wednesday
610,Wednesday
611,Wednesday
612,Wednesday
613,Thursday
614,Thursday
615,Thursday
616,Friday
617,Monday
618,Monday
619,Monday
620,Monday
621,Monday
622,Tuesday
623,Tuesday
624,Tuesday
625,Wednesday
626,Wednesday
627,Wednesday
628,Wednesday
629,Wednesday
630,Wednesday
631,Wednesday
632,Wednesday
633,Wednesday
634,Thursday
635,Thursday
636,Thursday
637,Thursday
638,Thursday
639,Thursday
640,Friday
641,Friday
642,Friday
643,Sunday
644,Sunday
645,Sunday
646,Sunday
647,Monday
648,Monday
649,Monday
650,Tuesday
651,Wednesday
652,Wednesday
653,Wednesday
654,Wednesday
655,Wednesday
656,Wednesday
657,Wednesday
658,Wednesday
659,Wednesday
660,Thursday
661,Thursday
662,Thursday
663,Thursday
664,Friday
665,Monday
666,Monday
667,Monday
668,Monday
669,Monday
670,Tuesday
671,Tuesday
672,Tuesday
673,Tuesday
674,Wednesday
675,Wednesday
676,Thursday
677,Thursday
678,Thursday
679,Thursday
680,Sunday
681,Sunday
682,Sunday
683,Monday
684,Monday
685,Monday
686,Tuesday
687,Tuesday
688,Tuesday
689,Tuesday
690,Tuesday
691,Tuesday
692,Wednesday
693,Wednesday
694,Wednesday
695,Thursday
696,Thursday
697,Thursday
698,Thursday
699,Thursday
700,Friday
701,Friday
702,Friday
703,Friday
704,Saturday
705,Saturday
706,Saturday
707,Saturday
708,Saturday
709,Sunday
710,Sunday
711,Sunday
712,Sunday
713,Monday
714,Monday
715,Monday
716,Monday
717,Tuesday
718,Tuesday
719,Tuesday
720,Tuesday
721,Tuesday
722,Tuesday
723,Wednesday
724,Tuesday
725,Wednesday
726,Wednesday
727,Wednesday
728,Wednesday
729,Thursday
730,Thursday
731,Thursday
732,Thursday
733,Thursday
734,Thursday
735,Thursday
736,Sunday
737,Sunday
738,Sunday
739,Sunday
740,Monday
741,Monday
742,Monday
743,Monday
744,Tuesday
745,Tuesday
746,Tuesday
747,Tuesday
748,Tuesday
749,Tuesday
750,Wednesday
751,Wednesday
752,Wednesday
753,Wednesday
754,Wednesday
755,Thursday
756,Thursday
757,Thursday
758,Thursday
759,Thursday
760,Thursday
761,Friday
762,Friday
763,Friday
764,Friday
765,Saturday
766,Sunday
767,Sunday
768,Monday
769,Monday
770,Monday
771,Monday
772,Monday
773,Tuesday
774,Monday
775,Tuesday
776,Tuesday
777,Tuesday
778,Tuesday
779,Tuesday
780,Tuesday
781,Tuesday
782,Wednesday
783,Wednesday
784,Wednesday
785,Thursday
786,Thursday
787,Thursday
788,Thursday
789,Thursday
790,Sunday
791,Sunday
792,Monday
793,Monday
794,Monday
795,Monday
796,Monday
797,Monday
798,Tuesday
799,Tuesday
800,Tuesday
801,Tuesday
802,Tuesday
803,Tuesday
804,Tuesday
805,Tuesday
806,Tuesday
807,Wednesday
808,Wednesday
809,Wednesday
810,Wednesday
811,Wednesday
812,Wednesday
813,Thursday
814,Thursday
815,Thursday
816,Thursday
817,Thursday
818,Thursday
819,Sunday
820,Sunday
821,Sunday
822,Sunday
823,Sunday
824,Sunday
825,Monday
826,Monday
827,Monday
828,Monday
829,Monday
830,Monday
831,Monday
832,Monday
833,Tuesday
834,Wednesday
835,Wednesday
836,Wednesday
837,Saturday
838,Saturday
839,Saturday
840,Saturday
841,Saturday
842,Saturday
843,Saturday
844,Saturday
845,Saturday
846,Saturday
847,Saturday
848,Saturday
849,Sunday
850,Sunday
851,Sunday
852,Sunday
853,Sunday
854,Sunday
855,Sunday
856,Sunday
857,Sunday
858,Sunday
859,Tuesday
860,Tuesday
861,Tuesday
862,Wednesday
863,Wednesday
864,Wednesday
865,Wednesday
866,Thursday
867,Thursday
868,Thursday
869,Thursday
870,Tuesday
871,Tuesday
872,Tuesday
873,Wednesday
874,Wednesday
875,Wednesday
876,Thursday
877,Thursday
878,Monday
879,Monday
880,Monday
881,Tuesday
882,Tuesday
883,Tuesday
884,Wednesday
885,Wednesday
886,Wednesday
887,Thursday
888,Thursday
889,Saturday
890,Sunday
891,Sunday
892,Sunday
893,Sunday
894,Sunday
895,Sunday
896,Sunday
897,Sunday
898,Sunday
899,Monday
900,Monday
901,Monday
902,Tuesday
903,Tuesday
904,Tuesday
905,Tuesday
906,Tuesday
907,Tuesday
908,Wednesday
909,Wednesday
910,Wednesday
911,Thursday
912,Thursday
913,Thursday
914,Sunday
915,Monday
916,Monday
917,Monday
918,Monday
919,Monday
920,Monday
921,Thursday
922,Thursday
923,Thursday
924,Wednesday
925,Wednesday
926,Wednesday
927,Thursday
928,Thursday
929,Thursday
930,Thursday
931,Thursday
932,Thursday
933,Thursday
934,Friday
935,Saturday
936,Saturday
937,Sunday
938,Sunday
939,Sunday
940,Sunday
941,Sunday
942,Monday
943,Monday
944,Monday
945,Monday
946,Monday
947,Monday
948,Monday
949,Monday
950,Monday
951,Tuesday
952,Tuesday
953,Tuesday
954,Tuesday
955,Tuesday
956,Wednesday
957,Wednesday
958,Wednesday
959,Wednesday
960,Thursday
961,Thursday
962,Thursday
963,Thursday
964,Thursday
965,Thursday
966,Saturday
967,Saturday
968,Saturday
969,Saturday
970,Saturday
971,Sunday
972,Sunday
973,Sunday
974,Sunday
975,Monday
976,Monday
977,Monday
978,Monday
979,Monday
980,Tuesday
981,Tuesday
982,Tuesday
983,Tuesday
984,Tuesday
985,Tuesday
986,Tuesday
987,Tuesday
988,Tuesday
989,Wednesday
990,Wednesday
991,Wednesday
992,Wednesday
993,Wednesday
994,Thursday
995,Thursday
996,Friday
997,Friday
998,Friday
999,Friday
1000,Friday
1001,Friday
1002,Friday
1003,Friday
1004,Friday
1005,Saturday
1006,Saturday
1007,Saturday
1008,Saturday
1009,Saturday
1010,Saturday
1011,Sunday
1012,Sunday
1013,Sunday
1014,Sunday
1015,Sunday
1016,Sunday
1017,Sunday
1018,Sunday
1019,Sunday
1020,Sunday
1021,Sunday
1022,Tuesday
1023,Tuesday
1024,Wednesday
1025,Wednesday
1026,Wednesday
1027,Thursday
1028,Sunday
1029,Sunday
1030,Monday
1031,Monday
1032,Monday
1033,Monday
1034,Monday
1035,Monday
1036,Tuesday
1037,Tuesday
1038,Tuesday
1039,Tuesday
1040,Tuesday
1041,Tuesday
1042,Tuesday
1043,Tuesday
1044,Tuesday
1045,Wednesday
1046,Wednesday
1047,Thursday
1048,Thursday
1049,Thursday
1050,Thursday
1051,Friday
1052,Saturday
1053,Saturday
1054,Saturday
1055,Sunday
1056,Sunday
1057,Sunday
1058,Sunday
1059,Sunday
1060,Monday
1061,Monday
1062,Monday
1063,Monday
1064,Tuesday
1065,Wednesday
1066,Wednesday
1067,Wednesday
1068,Thursday
1069,Thursday
1070,Thursday
1071,Friday
1072,Friday
1073,Saturday
1074,Sunday
1075,Sunday
1076,Monday
1077,Monday
1078,Monday
1079,Monday
1080,Monday
1081,Monday
1082,Monday
1083,Monday
1084,Monday
1085,Tuesday
1086,Tuesday
1087,Tuesday
1088,Tuesday
1089,Tuesday
1090,Tuesday
1091,Tuesday
1092,Wednesday
1093,Wednesday
1094,Thursday
1095,Friday
1096,Friday
1097,Friday
1098,Sunday
1099,Sunday
1100,Monday
1101,Monday
1102,Tuesday
1103,Tuesday
1104,Tuesday
1105,Tuesday
1106,Tuesday
1107,Thursday
1108,Thursday
1109,Thursday
1110,Sunday
1111,Sunday
1112,Monday
1113,Monday
1114,Monday
1115,Monday
1116,Monday
1117,Monday
1118,Tuesday
1119,Tuesday
1120,Tuesday
1121,Tuesday
1122,Wednesday
1123,Wednesday
1124,Wednesday
1125,Thursday
1126,Thursday
1127,Thursday
1128,Sunday
1129,Sunday
1130,Sunday
1131,Sunday
1132,Sunday
1133,Sunday
1134,Monday
1135,Tuesday
1136,Tuesday
1137,Tuesday
1138,Tuesday
1139,Tuesday
1140,Wednesday
1141,Wednesday
1142,Wednesday
1143,Wednesday
1144,Thursday
1145,Thursday
1146,Thursday
1147,Thursday
1148,Thursday
1149,Thursday
1150,Friday
1151,Friday
1152,Friday
1153,Saturday
1154,Saturday
1155,Saturday
1156,Saturday
1157,Saturday
1158,Saturday
1159,Sunday
1160,Sunday
1161,Sunday
1162,Sunday
1163,Sunday
1164,Sunday
1165,Sunday
1166,Sunday
1167,Sunday
1168,Sunday
1169,Monday
1170,Monday
1171,Tuesday
1172,Tuesday
1173,Tuesday
1174,Tuesday
1175,Tuesday
1176,Tuesday
1177,Tuesday
1178,Tuesday
1179,Tuesday
1180,Tuesday
1181,Wednesday
1182,Wednesday
1183,Wednesday
1184,Wednesday
1185,Wednesday
1186,Wednesday
1187,Wednesday
1188,Wednesday
1189,Thursday
1190,Thursday
1191,Thursday
1192,Thursday
1193,Thursday
1194,Thursday
1195,Friday
1196,Friday
1197,Friday
1198,Friday
1199,Friday
1200,Friday
1201,Friday
1202,Saturday
1203,Saturday
1204,Saturday
1205,Saturday
1206,Saturday
1207,Saturday
1208,Sunday
1209,Sunday
1210,Sunday
1211,Sunday
1212,Sunday
1213,Sunday
1214,Sunday
1215,Sunday
1216,Sunday
1217,Sunday
1218,Sunday
1219,Sunday
1220,Monday
1221,Monday
1222,Monday
1223,Monday
1224,Monday
1225,Monday
1226,Monday
1227,Monday
1228,Tuesday
1229,Tuesday
1230,Tuesday
1231,Tuesday
1232,Tuesday
1233,Tuesday
1234,Tuesday
1235,Tuesday
1236,Wednesday
1237,Wednesday
1238,Wednesday
1239,Wednesday
1240,Wednesday
1241,Wednesday
1242,Thursday
1243,Thursday
1244,Thursday
1245,Thursday
1246,Thursday
1247,Friday
1248,Friday
1249,Friday
1250,Friday
1251,Friday
1252,Friday
1253,Friday
1254,Friday
1255,Friday
1256,Saturday
1257,Saturday
1258,Saturday
1259,Saturday
1260,Saturday
1261,Saturday
1262,Saturday
1263,Saturday
1264,Saturday
1265,Saturday
1266,Saturday
1267,Sunday
1268,Sunday
1269,Sunday
1270,Sunday
1271,Sunday
1272,Sunday
1273,Sunday
1274,Sunday
1275,Sunday
1276,Sunday
