Index,Red Scout 1,Red Scout 2,Red Soldier 1,Red Soldier 2,Red Demo,Red Medic,Blu Scout 1,Blu Scout 2,Blu Soldier 1,Blu Soldier 2,Blu Demo,Blu Medic
0,[U:1:139578113],[U:1:107029340],[U:1:89112868],[U:1:151404046],[U:1:93355936],[U:1:175890948],[U:1:88986847],[U:1:190301470],[U:1:85413659],[U:1:123490326],[U:1:10403381],[U:1:57273876]
1,[U:1:139578113],[U:1:107029340],[U:1:89112868],[U:1:151404046],[U:1:93355936],[U:1:175890948],[U:1:88986847],[U:1:190301470],[U:1:85413659],[U:1:123490326],[U:1:10403381],[U:1:57273876]
2,[U:1:139578113],[U:1:107029340],[U:1:89112868],[U:1:151404046],[U:1:93355936],[U:1:175890948],[U:1:88986847],[U:1:190301470],[U:1:85413659],[U:1:123490326],[U:1:10403381],[U:1:57273876]
3,[U:1:139578113],[U:1:107029340],[U:1:89112868],[U:1:151404046],[U:1:93355936],[U:1:175890948],[U:1:88986847],[U:1:190301470],[U:1:85413659],[U:1:123490326],[U:1:10403381],[U:1:57273876]
